Text,StrTime,User,MessageType,Sentiment,Confidence,Positive_Prob,Negative_Prob
但是我高估了我的耐心,2021-10-28 21:07:32,Matteo,text,1,0.29111,0.535444,0.464555
哈哈哈哈哈哈哈,2021-10-28 21:07:48,R,text,2,0.974361,0.988462,0.0115377
几十页,2021-10-28 21:07:58,R,text,2,0.391569,0.726206,0.273794
少了,2021-10-28 21:08:11,Matteo,text,0,0.988672,0.00509758,0.994902
牛啊,2021-10-28 21:08:13,R,text,2,0.993773,0.997198,0.00280195
113,2021-10-28 21:08:16,Matteo,text,2,0.0107196,0.554824,0.445176
哈哈哈哈哈哈哈c,2021-10-28 21:08:26,R,text,2,0.862697,0.938213,0.0617866
再抱一次老师大腿,2021-11-09 20:52:44,Matteo,text,2,0.953864,0.979239,0.020761
被c的感觉确实很爽,2021-11-09 20:53:15,Matteo,text,2,0.999259,0.999667,0.000333472
👍🏽,2021-11-09 21:37:20,R,text,1,0.0,0.0,0.0
慕了,2021-11-09 21:37:38,R,text,2,0.47278,0.762751,0.237249
其实另外一个老师也有项目,2021-11-09 21:40:05,Matteo,text,2,0.83767,0.926952,0.0730483
但是一周得看一篇英文文献还得每周开会,2021-11-09 21:40:26,Matteo,text,2,0.977846,0.990031,0.00996924
我直接拜拜👋🏻,2021-11-09 21:40:36,Matteo,text,0,0.967594,0.0145827,0.985417
哈哈哈哈哈哈哈,2021-11-09 21:41:34,R,text,2,0.974361,0.988462,0.0115377
直接送走了,2021-11-09 21:41:47,R,text,0,0.0488615,0.428012,0.571988
其实也不是不能看,2021-11-09 21:42:10,Matteo,text,0,0.981418,0.00836199,0.991638
腾讯翻译官翻译出来的勉强还是能读懂的,2021-11-09 21:42:40,Matteo,text,0,0.951719,0.0217266,0.978273
但是这个老师给的文献,2021-11-09 21:42:56,Matteo,text,2,0.717348,0.872807,0.127193
没法整段复制,2021-11-09 21:43:10,Matteo,text,0,0.993797,0.00279139,0.997209
只能一行一行搞,2021-11-09 21:43:19,Matteo,text,0,0.997222,0.0012499,0.99875
截屏翻译,2021-11-09 21:43:22,R,text,2,0.895117,0.952803,0.0471972
有道,2021-11-09 21:43:33,R,text,2,0.966621,0.984979,0.0150207
截屏有些翻译不到,2021-11-09 21:43:34,Matteo,text,0,0.91533,0.0381013,0.961899
！,2021-11-09 21:43:39,R,text,2,0.478276,0.765224,0.234776
是咩,2021-11-09 21:43:44,R,text,0,0.920432,0.0358055,0.964194
我之前都试了一遍,2021-11-09 21:43:54,Matteo,text,2,0.991738,0.996282,0.00371799
我搁着天天截屏翻译哈哈哈哈,2021-11-09 21:43:57,R,text,2,0.846298,0.930834,0.069166
所有投机取巧的方法都给我试了,2021-11-09 21:44:10,Matteo,text,0,0.608048,0.176378,0.823622
最后老老实实一行行复制,2021-11-09 21:44:27,Matteo,text,2,0.772836,0.897776,0.102224
哈哈哈哈哈哈哈哈哈,2021-11-09 21:44:29,R,text,2,0.911407,0.960133,0.039867
我笑死了,2021-11-09 21:44:43,R,text,0,0.979919,0.00903659,0.990963
所以虽然这老师挺牛逼,2021-11-09 21:45:40,Matteo,text,2,0.97774,0.989983,0.010017
但终究没有缘分,2021-11-09 21:45:52,Matteo,text,0,0.395082,0.272213,0.727787
话说你们学不学财会管理,2021-11-09 21:48:33,Matteo,text,0,0.988975,0.00496123,0.995039
就是现金流量表 借贷表这些,2021-11-09 21:48:57,Matteo,text,2,0.13046,0.608707,0.391293
学,2021-11-09 21:49:25,R,text,2,0.991178,0.99603,0.00396977
我们下周就考试了,2021-11-09 21:49:44,Matteo,text,2,0.988067,0.99463,0.00536973
sb东西 前几天做估值给我整yue了,2021-11-09 21:49:47,R,text,0,0.9962,0.00170991,0.99829
哇哦,2021-11-09 21:49:50,R,text,2,0.912209,0.960494,0.0395058
然而这门课,2021-11-09 21:50:00,Matteo,text,0,0.459812,0.243085,0.756915
我睡过去了一半,2021-11-09 21:50:11,Matteo,text,0,0.91323,0.0390464,0.960954
的线上,2021-11-09 21:50:16,Matteo,text,2,0.876641,0.944489,0.0555115
emmm,2021-11-09 21:50:22,R,text,2,0.891777,0.9513,0.0487003
有点难受,2021-11-09 21:50:24,R,text,0,0.999374,0.000281693,0.999718
今天第一次线下,2021-11-09 21:50:26,Matteo,text,2,0.598968,0.819536,0.180464
会计有点难,2021-11-09 21:50:27,R,text,2,0.235114,0.655801,0.344199
啥也没听懂,2021-11-09 21:50:35,Matteo,text,0,0.982186,0.00801633,0.991984
麻了,2021-11-09 21:50:41,Matteo,text,0,0.287256,0.320735,0.679265
行吧,2021-11-09 21:52:23,Matteo,text,0,0.98993,0.00453138,0.995469
你们ppt/书好懂吗,2021-11-09 21:52:53,R,text,0,0.905143,0.0426856,0.957314
PPT和书感觉没啥关系,2021-11-09 21:53:29,Matteo,text,0,0.946634,0.0240145,0.975985
哈哈哈哈哈哈哈哈哈,2021-11-09 21:53:35,R,text,2,0.911407,0.960133,0.039867
确实,2021-11-09 21:53:40,R,text,2,0.483035,0.767366,0.232634
我也不知道他在讲啥,2021-11-09 21:53:48,Matteo,text,0,0.877581,0.0550886,0.944911
我当初也不知道哈哈哈哈,2021-11-09 21:53:57,R,text,2,0.894445,0.9525,0.0474995
而且考的内容 我也不知道在讲啥,2021-11-09 21:54:10,R,text,0,0.991352,0.00389173,0.996108
坚定了我,2021-11-09 21:54:16,R,text,2,0.863522,0.938585,0.0614151
没有学会计,2021-11-09 21:54:18,R,text,0,0.955851,0.0198669,0.980133
答辩可以带稿子读吗,2021-11-10 21:58:19,Matteo,text,2,0.810706,0.914818,0.0851823
我现在还没答辩就已经脑袋空空了,2021-11-10 21:58:34,Matteo,text,0,0.988354,0.00524063,0.994759
线下吗,2021-11-10 21:58:58,R,text,0,0.978461,0.00969252,0.990307
嗯,2021-11-10 21:59:07,Matteo,text,2,0.204458,0.642006,0.357994
大创,2021-11-10 21:59:12,Matteo,text,2,0.889149,0.950117,0.049883
emmmm,2021-11-10 21:59:19,R,text,2,0.980829,0.991373,0.00862723
它要求4分钟讲完,2021-11-10 21:59:25,Matteo,text,0,0.464113,0.241149,0.758851
就跟ppt那种差不多,2021-11-10 21:59:33,R,text,0,0.995204,0.00215819,0.997842
我写的稿子3分钟可以讲完,2021-11-10 21:59:48,Matteo,text,2,0.717681,0.872956,0.127044
但是跟着ppt读,2021-11-10 21:59:53,Matteo,text,0,0.204956,0.35777,0.64223
应该会有人把稿子放在电脑屏幕上,2021-11-10 21:59:56,R,text,0,0.602245,0.17899,0.82101
差不多要5分钟,2021-11-10 22:00:00,Matteo,text,0,0.420891,0.260599,0.739401
那把稿子放屏幕上咯 感觉应该没啥吧,2021-11-10 22:01:02,R,text,0,0.975886,0.0108513,0.989149
大学还没遇到过一定不能看稿子的那种sb,2021-11-10 22:01:38,R,text,0,0.995551,0.00200206,0.997998
我还是背一背吧,2021-11-10 22:06:09,Matteo,text,0,0.455324,0.245104,0.754896
太难了,2021-11-10 22:08:23,Matteo,text,0,0.979108,0.00940152,0.990598
看着自己做的ppt,2021-11-10 22:08:30,Matteo,text,0,0.90559,0.0424843,0.957516
