localId,TalkerId,Type,SubType,IsSender,CreateTime,Status,StrContent,StrTime,Remark,NickName,Sender
1275618,6,1,0,0,1633608462,,南京昨晚下了雨之后突然就降温了,2021-10-07 08:07:42,Matteo,Matteo,wxid_bw1xnecir2p22
1275619,6,1,0,1,1633608478,,掏羽绒服了,2021-10-07 08:07:58,R,R,a33386437
1275620,6,1,0,1,1633608481,,离谱,2021-10-07 08:08:01,R,R,a33386437
1275621,6,47,0,0,1633608513,,"<msg><emoji fromusername = ""wxid_bw1xnecir2p22"" tousername = ""a33386437"" type=""3"" idbuffer=""media:0_0"" md5=""b780a478cdc0509099cd86388394d560"" len = ""1710"" productid="""" androidmd5=""b780a478cdc0509099cd86388394d560"" androidlen=""1710"" s60v3md5 = ""b780a478cdc0509099cd86388394d560"" s60v3len=""1710"" s60v5md5 = ""b780a478cdc0509099cd86388394d560"" s60v5len=""1710"" cdnurl = ""http://emoji.qpic.cn/wx_emoji/TRXLQXqMaWiadQHoWQ5Y7sORNqPVxmY05FaYqTmdTPibynqcwuhfWibBaRbT8Q1BG0ic/"" designerid = """" thumburl = """" encrypturl = ""http://emoji.qpic.cn/wx_emoji/TRXLQXqMaWiadQHoWQ5Y7sORNqPVxmY05FaYqTmdTPibxHSpFCqaIibT8YmDQTKUnN1/"" aeskey= ""1d9d31c4b4cab3ef7b09533e071d5e5b"" externurl = ""http://emoji.qpic.cn/wx_emoji/TRXLQXqMaWiadQHoWQ5Y7sORNqPVxmY05FaYqTmdTPibzLNEBrUcw1ictsZCxQyJmicB/"" externmd5 = ""a6ad09b924024c98f2f1e7d0e6d3f2d7"" width= ""42"" height= ""51"" tpurl= """" tpauthkey= """" attachedtext= """" attachedtextcolor= """" lensid= """" emojiattr= """" linkid= """" ></emoji> </msg>",2021-10-07 08:08:33,Matteo,Matteo,wxid_bw1xnecir2p22
1275622,6,1,0,1,1633608515,,感觉秋天被快进了,2021-10-07 08:08:35,R,R,a33386437
1275623,6,47,0,1,1633608517,,"<msg><emoji md5=""b780a478cdc0509099cd86388394d560"" type=""2"" len = ""759"" width=""51"" height=""42""></emoji><gameext type=""0"" content=""0"" ></gameext></msg>",2021-10-07 08:08:37,R,R,a33386437
1275624,6,1,0,0,1633608571,,好家伙,2021-10-07 08:09:31,Matteo,Matteo,wxid_bw1xnecir2p22
1275625,6,1,0,0,1633856198,,可能要八点以后,2021-10-10 04:56:38,Matteo,Matteo,wxid_bw1xnecir2p22
1275626,6,1,0,0,1633856201,,可以吗,2021-10-10 04:56:41,Matteo,Matteo,wxid_bw1xnecir2p22
1275627,6,1,0,0,1633856218,,等会老生返校,2021-10-10 04:56:58,Matteo,Matteo,wxid_bw1xnecir2p22
1275628,6,1,0,1,1633856224,,好的,2021-10-10 04:57:04,R,R,a33386437
1275629,6,1,0,0,1633856228,,我得去帮人搬点东西,2021-10-10 04:57:08,Matteo,Matteo,wxid_bw1xnecir2p22
1275630,6,1,0,1,1633856232,,牛啊,2021-10-10 04:57:12,R,R,a33386437
1275631,6,1,0,1,1633856234,,学长,2021-10-10 04:57:14,R,R,a33386437
1275632,6,1,0,0,1633856240,,不,2021-10-10 04:57:20,Matteo,Matteo,wxid_bw1xnecir2p22
1275633,6,1,0,0,1633856245,,我的学长,2021-10-10 04:57:25,Matteo,Matteo,wxid_bw1xnecir2p22
